,Gender,Ethnicity,Child's First Name
440,FEMALE,WHITE NON HISPANIC,MILENA
441,FEMALE,WHITE NON HISPANIC,MINDY
442,FEMALE,WHITE NON HISPANIC,MIRI
443,FEMALE,WHITE NON HISPANIC,MIRIAM
444,FEMALE,WHITE NON HISPANIC,MOLLY
445,FEMALE,WHITE NON HISPANIC,MORGAN
446,FEMALE,WHITE NON HISPANIC,NAOMI
447,FEMALE,WHITE NON HISPANIC,NATALIA
448,FEMALE,WHITE NON HISPANIC,NATALIE
449,FEMALE,WHITE NON HISPANIC,NECHAMA
450,FEMALE,WHITE NON HISPANIC,NICOLE
451,FEMALE,WHITE NON HISPANIC,NICOLETTE
452,FEMALE,WHITE NON HISPANIC,NINA
453,FEMALE,WHITE NON HISPANIC,NOA
454,FEMALE,WHITE NON HISPANIC,NORA
455,FEMALE,WHITE NON HISPANIC,OLIVIA
456,FEMALE,WHITE NON HISPANIC,PAIGE
457,FEMALE,WHITE NON HISPANIC,PARKER
458,FEMALE,WHITE NON HISPANIC,PEARL
459,FEMALE,WHITE NON HISPANIC,PENELOPE
460,FEMALE,WHITE NON HISPANIC,PEREL
461,FEMALE,WHITE NON HISPANIC,PESSY
462,FEMALE,WHITE NON HISPANIC,PHOEBE
463,FEMALE,WHITE NON HISPANIC,PIPER
464,FEMALE,WHITE NON HISPANIC,QUINN
465,FEMALE,WHITE NON HISPANIC,RACHEL
466,FEMALE,WHITE NON HISPANIC,RAIZEL
467,FEMALE,WHITE NON HISPANIC,RAIZY
468,FEMALE,WHITE NON HISPANIC,REBECCA
469,FEMALE,WHITE NON HISPANIC,REESE
470,FEMALE,WHITE NON HISPANIC,RIFKA
471,FEMALE,WHITE NON HISPANIC,RIFKY
472,FEMALE,WHITE NON HISPANIC,RILEY
473,FEMALE,WHITE NON HISPANIC,RIVKA
474,FEMALE,WHITE NON HISPANIC,RIVKY
475,FEMALE,WHITE NON HISPANIC,ROCHEL
476,FEMALE,WHITE NON HISPANIC,ROIZY
477,FEMALE,WHITE NON HISPANIC,ROSE
478,FEMALE,WHITE NON HISPANIC,RUBY
479,FEMALE,WHITE NON HISPANIC,RUCHY
